Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded
IR,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components,"Davidson, North Carolina",03/03/2020,1699150,1859
PAYC,Paycom,Industrials,Human Resource & Employment Services,"Oklahoma City, Oklahoma",28/01/2020,1590955,1998
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",23/12/2019,1335258,2010
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",23/12/2019,1757898,1985
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,"Lincolnshire, Illinois",23/12/2019,877212,1969
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",09/12/2019,878927,1934
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",05/12/2019,11544,1967
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",21/11/2019,1373715,2003
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",03/10/2019,1300514,1988
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,"Reston, Virginia",26/09/2019,906163,1980
CDW,CDW,Information Technology,Technology Distributors,"Vernon Hills, Illinois",23/09/2019,1402057,1984
IEX,IDEX Corporation,Industrials,Industrial Machinery & Supplies & Components,"Lake Forest, Illinois",09/08/2019,832101,1988
LDOS,Leidos,Industrials,Diversified Support Services,"Reston, Virginia",09/08/2019,1336920,1969
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",29/07/2019,1113169,1937
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",15/07/2019,1283699,1994
MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York City, New York",01/07/2019,1278021,2000
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom",07/06/2019,1748790,2019 (1860)
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana",03/06/2019,1755672,2019
DD,DuPont,Materials,Specialty Chemicals,"Wilmington, Delaware",02/04/2019,1666700,2017 (1802)
DOW,Dow Inc.,Materials,Commodity Chemicals,"Midland, Michigan",01/04/2019,1751788,2019 (1897)
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,"New York City, New York",04/03/2019,1754301,2019
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,"New York City, New York",04/03/2019,1754301,2019
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,"Pittsburgh, Pennsylvania",27/02/2019,943452,1999 (1869)
ATO,Atmos Energy,Utilities,Gas Utilities,"Dallas, Texas",15/02/2019,731802,1906
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",18/01/2019,96943,1943
CE,Celanese,Materials,Specialty Chemicals,"Irving, Texas",24/12/2018,1306830,1918
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",03/12/2018,1679273,2016 (1950)
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,"Midland, Texas",03/12/2018,1539838,2007
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,"Monett, Missouri",13/11/2018,779152,1976
KEYS,Keysight,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",06/11/2018,1601046,2014 (1939)
FTNT,Fortinet,Information Technology,Systems Software,"Sunnyvale, California",11/10/2018,1262039,2000
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",01/10/2018,84839,1948
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",28/08/2018,1596532,2004
CPRT,Copart,Industrials,Diversified Support Services,"Dallas, Texas",02/07/2018,900075,1982
CPAY,Corpay,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",20/06/2018,1175454,2000
BR,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",18/06/2018,1383312,1962
EVRG,Evergy,Utilities,Electric Utilities,"Kansas City, Missouri",05/06/2018,1711269,1909
MSCI,MSCI,Financials,Financial Exchanges & Data,"New York City, New York",04/04/2018,1408198,1969
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York City, New York",19/03/2018,946581,1993
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",03/01/2018,1501585,2011
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",13/10/2017,1513761,2011 (1966)
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",18/09/2017,813672,1988
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",01/09/2017,1034054,1989
IQV,IQVIA,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",29/08/2017,1478242,1982
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",26/07/2017,789570,1986
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",26/07/2017,943819,1989
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",26/07/2017,91142,1916
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,"Lake Forest, Illinois",26/07/2017,75677,1959
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",07/07/2017,1701605,2017
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",19/06/2017,1585689,1919
EG,Everest Re,Financials,Reinsurance,"Hamilton, Bermuda",19/06/2017,1095073,1973
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",19/06/2017,1097149,1997
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",19/06/2017,1013462,1969
IT,Gartner,Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",05/04/2017,749251,1979
RJF,Raymond James,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",20/03/2017,720005,1962
AMD,Advanced Micro Devices,Information Technology,Semiconductors,"Santa Clara, California",20/03/2017,2488,1969
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",20/03/2017,1035443,1994
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",17/03/2017,1032208,1998
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",16/03/2017,883241,1986
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",02/03/2017,910606,1963
CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,"Chicago, Illinois",01/03/2017,1374310,1973
INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",28/02/2017,879169,1991
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",05/01/2017,874716,1983
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,"Memphis, Tennessee",02/12/2016,912595,1977
D,Dominion Energy,Utilities,Multi-Utilities,"Richmond, Virginia",30/11/2016,715957,1983
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",21/10/2016,4281,1888
COO,Cooper Companies (The),Health Care,Health Care Supplies,"San Ramon, California",23/09/2016,711404,1958
CHTR,Charter Communications,Communication Services,Cable & Satellite,"Stamford, Connecticut",08/09/2016,1091667,1993
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",06/09/2016,1037646,1945
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,"Everett, Washington",01/07/2016,1659166,2016
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",01/07/2016,915913,1994
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",01/07/2016,352541,1917
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",03/06/2016,1260221,1993
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",31/05/2016,354190,1927
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",23/05/2016,1065696,1998
DLR,Digital Realty,Real Estate,Data Center REITs,"Austin, Texas",18/05/2016,1297996,2004
GPN,Global Payments,Financials,Transaction & Payment Processing Services,"Atlanta, Georgia",25/04/2016,1123360,2000
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,"Bolingbrook, Illinois",18/04/2016,1403568,1990
CNC,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri",30/03/2016,1071739,1984
HOLX,Hologic,Health Care,Health Care Equipment,"Marlborough, Massachusetts",30/03/2016,859737,1985
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,"Highlands Ranch, Colorado",07/03/2016,74208,1972
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",04/03/2016,1410636,1886
FRT,Federal Realty,Real Estate,Retail REITs,"Rockville, Maryland",01/02/2016,34903,1962
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",29/01/2016,759944,1828
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,"Salt Lake City, Utah",19/01/2016,1289490,1977
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",05/01/2016,1140536,2016
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",29/12/2015,313927,1847
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",18/11/2015,1601712,2003
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",02/11/2015,1645590,2015
VRSK,Verisk,Industrials,Research & Consulting Services,"Jersey City, New Jersey",08/10/2015,1442145,1971
NWS,News Corp (Class B),Communication Services,Publishing,"New York City, New York",18/09/2015,1564708,2013 (News Corporation 1980)
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",03/09/2015,100517,1967
PYPL,PayPal,Financials,Transaction & Payment Processing Services,"San Jose, California",20/07/2015,1633917,1998
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",06/07/2015,1637459,2015 (1869)
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,"Lowell, Arkansas",01/07/2015,728535,1961
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",11/06/2015,1604778,2015
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",07/04/2015,726728,1969
AAL,American Airlines Group,Industrials,Passenger Airlines,"Fort Worth, Texas",23/03/2015,6201,1934
EQIX,Equinix,Real Estate,Data Center REITs,"Redwood City, California",20/03/2015,1101239,1998
HSIC,Henry Schein,Health Care,Health Care Distributors,"Melville, New York",17/03/2015,1000228,1932
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",12/03/2015,4127,2002
HCA,HCA Healthcare,Health Care,Health Care Facilities,"Nashville, Tennessee",27/01/2015,860730,1968
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",05/12/2014,884887,1997
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",20/09/2014,352915,1979
URI,United Rentals,Industrials,Trading Companies & Distributors,"Stamford, Connecticut",20/09/2014,1067701,1997
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",02/07/2014,916076,1993
AVGO,Broadcom,Information Technology,Semiconductors,"Palo Alto, California",08/05/2014,1730168,1961
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",03/04/2014,1652044,1998
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,"San Mateo, California",02/04/2014,920522,1971
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,"Brentwood, Tennessee",24/01/2014,916365,1938
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",23/12/2013,1326801,2004
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",23/12/2013,851968,1878
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",02/12/2013,1579241,1908
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",23/09/2013,875320,1989
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",23/09/2013,1037868,1930
DAL,Delta Air Lines,Industrials,Passenger Airlines,"Atlanta, Georgia",11/09/2013,27904,1929
NWSA,News Corp (Class A),Communication Services,Publishing,"New York City, New York",01/08/2013,1564708,2013 (News Corporation 1980)
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",21/06/2013,1555280,1952
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,"Detroit, Michigan",06/06/2013,1467858,1908
REGN,Regeneron,Health Care,Biotechnology,"Tarrytown, New York",01/05/2013,872589,1988
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",31/12/2012,1551152,2013 (1888)
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland",24/12/2012,1521332,1994
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1121788,1989
HUM,Humana,Health Care,Managed Health Care,"Louisville, Kentucky",10/12/2012,49071,1961
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee",03/12/2012,29534,1939
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",02/10/2012,1103982,2012
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,"Worsley, United Kingdom",01/10/2012,77360,1966
LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",05/09/2012,1489393,2007
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",02/07/2012,1137789,1979
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,"Fremont, California",29/06/2012,707549,1980
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Corona, California",28/06/2012,865752,2012 (1935)
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",25/05/2012,1506307,1997
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",01/05/2012,1534701,2012 (1917)
CCI,Crown Castle,Real Estate,Telecom Tower REITs,"Houston, Texas",14/03/2012,1051470,1994
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",19/12/2011,908255,1880
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,"Chesapeake, Virginia",19/12/2011,935703,1986
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,"White Plains, New York",01/11/2011,1524472,2011
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",17/10/2011,1385157,2007
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",26/09/2011,1285785,2004 (1865 / 1909)
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",06/07/2011,1467373,1989
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",01/07/2011,1510295,2009 (1887)
FCX,Freeport-McMoRan,Materials,Copper,"Phoenix, Arizona",01/07/2011,831259,1912
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Newport Beach, California",28/04/2011,1058090,1993
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",04/04/2011,1364742,1988
EW,Edwards Lifesciences,Health Care,Health Care Equipment,"Irvine, California",01/04/2011,1099800,1958
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",20/12/2010,1065280,1997
FFIV,"F5, Inc.",Information Technology,Communications Equipment,"Seattle, Washington",20/12/2010,1048695,1996
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",17/11/2010,1466258,1871
JCI,Johnson Controls,Industrials,Building Products,"Cork, Ireland",27/08/2010,833444,1885
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",15/07/2010,896159,1985
KMX,CarMax,Consumer Discretionary,Automotive Retail,"Richmond, Virginia",28/06/2010,1170010,1993
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",15/03/2010,1039684,1906
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",16/02/2010,1067983,1839
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",29/01/2010,1013871,1992
